source_file,original_section,topic_file,topic_title
Interview_Prep_Topics_and_Questions.md,15. System Design for AI Assistants,06_GenAI_LLMs_Prompting_Agents_RAG_and_Evaluation.md,"GenAI, LLMs, Prompting, Agents, RAG & Evaluation"
Interview_Prep_Topics_and_Questions.md,16. Behavioral / Communication Answers,01_Behavioral_HR_Current_Role_and_Interview_Strategy.md,"Behavioral, HR, Current Role & Interview Strategy"
Interview_Prep_Topics_and_Questions.md,17. Questions to Ask Interviewers,12_Questions_to_Ask_and_Revision_Cheat_Sheets.md,Questions to Ask Interviewers & Revision Cheat Sheets
Interview_Prep_Topics_and_Questions.md,18. Quick Revision Cheat Sheet,12_Questions_to_Ask_and_Revision_Cheat_Sheets.md,Questions to Ask Interviewers & Revision Cheat Sheets
Interview_Prep_Topics_and_Questions.md,Final Interview Mindset,12_Questions_to_Ask_and_Revision_Cheat_Sheets.md,Questions to Ask Interviewers & Revision Cheat Sheets
ai_engineer_interview_prep_topics.md,1. Interview Positioning & Core Pitch,01_Behavioral_HR_Current_Role_and_Interview_Strategy.md,"Behavioral, HR, Current Role & Interview Strategy"
ai_engineer_interview_prep_topics.md,2. Behavioral / HR Questions,01_Behavioral_HR_Current_Role_and_Interview_Strategy.md,"Behavioral, HR, Current Role & Interview Strategy"
ai_engineer_interview_prep_topics.md,3. Questions to Ask the Interview Panel,12_Questions_to_Ask_and_Revision_Cheat_Sheets.md,Questions to Ask Interviewers & Revision Cheat Sheets
ai_engineer_interview_prep_topics.md,4. AI Agents,06_GenAI_LLMs_Prompting_Agents_RAG_and_Evaluation.md,"GenAI, LLMs, Prompting, Agents, RAG & Evaluation"
ai_engineer_interview_prep_topics.md,5. RAG Systems,06_GenAI_LLMs_Prompting_Agents_RAG_and_Evaluation.md,"GenAI, LLMs, Prompting, Agents, RAG & Evaluation"
ai_engineer_interview_prep_topics.md,6. LLM Evaluation & Metadata,06_GenAI_LLMs_Prompting_Agents_RAG_and_Evaluation.md,"GenAI, LLMs, Prompting, Agents, RAG & Evaluation"
ai_engineer_interview_prep_topics.md,7. Prompt Engineering,06_GenAI_LLMs_Prompting_Agents_RAG_and_Evaluation.md,"GenAI, LLMs, Prompting, Agents, RAG & Evaluation"
ai_engineer_interview_prep_topics.md,8. Productionizing AI Agents,06_GenAI_LLMs_Prompting_Agents_RAG_and_Evaluation.md,"GenAI, LLMs, Prompting, Agents, RAG & Evaluation"
ai_engineer_interview_prep_topics.md,9. Security for AI Applications,10_Testing_QA_Security_Observability_and_Reliability.md,"Testing, QA, Security, Observability & Reliability"
ai_engineer_interview_prep_topics.md,10. Current GenAI Role Explanation,06_GenAI_LLMs_Prompting_Agents_RAG_and_Evaluation.md,"GenAI, LLMs, Prompting, Agents, RAG & Evaluation"
ai_engineer_interview_prep_topics.md,11. ReactJS Interview Topics,11_Frontend_React_TypeScript_and_Product_Engineering.md,"Frontend, React, TypeScript & Product Engineering"
ai_engineer_interview_prep_topics.md,12. TypeScript Interview Topics,11_Frontend_React_TypeScript_and_Product_Engineering.md,"Frontend, React, TypeScript & Product Engineering"
ai_engineer_interview_prep_topics.md,13. API Integration Topics,03_Backend_APIs_FastAPI_Flask_REST_gRPC_GraphQL.md,"Backend APIs, FastAPI, Flask, REST, gRPC & GraphQL"
ai_engineer_interview_prep_topics.md,14. FastAPI Topics,03_Backend_APIs_FastAPI_Flask_REST_gRPC_GraphQL.md,"Backend APIs, FastAPI, Flask, REST, gRPC & GraphQL"
ai_engineer_interview_prep_topics.md,15. Python Topics,02_Python_Core_Advanced_and_Coding_Problems.md,"Python Core, Advanced Concepts & Coding Problems"
ai_engineer_interview_prep_topics.md,16. Git / Version Control,09_Cloud_DevOps_Docker_Kubernetes_CICD.md,"Cloud, DevOps, Docker, Kubernetes & CI/CD"
ai_engineer_interview_prep_topics.md,17. Cloud / AWS Topics,09_Cloud_DevOps_Docker_Kubernetes_CICD.md,"Cloud, DevOps, Docker, Kubernetes & CI/CD"
ai_engineer_interview_prep_topics.md,18. Kubernetes / Docker Topics,09_Cloud_DevOps_Docker_Kubernetes_CICD.md,"Cloud, DevOps, Docker, Kubernetes & CI/CD"
ai_engineer_interview_prep_topics.md,19. Scaling FastAPI Applications,03_Backend_APIs_FastAPI_Flask_REST_gRPC_GraphQL.md,"Backend APIs, FastAPI, Flask, REST, gRPC & GraphQL"
ai_engineer_interview_prep_topics.md,20. Azure / Terraform Deployment Question,09_Cloud_DevOps_Docker_Kubernetes_CICD.md,"Cloud, DevOps, Docker, Kubernetes & CI/CD"
ai_engineer_interview_prep_topics.md,"21. Testing, Monitoring & Continuous Improvement",10_Testing_QA_Security_Observability_and_Reliability.md,"Testing, QA, Security, Observability & Reliability"
ai_engineer_interview_prep_topics.md,22. Client-Facing Communication,01_Behavioral_HR_Current_Role_and_Interview_Strategy.md,"Behavioral, HR, Current Role & Interview Strategy"
ai_engineer_interview_prep_topics.md,23. Quick Revision Cheat Sheet,12_Questions_to_Ask_and_Revision_Cheat_Sheets.md,Questions to Ask Interviewers & Revision Cheat Sheets
ai_engineer_interview_prep_topics.md,Final Interview Reminder,12_Questions_to_Ask_and_Revision_Cheat_Sheets.md,Questions to Ask Interviewers & Revision Cheat Sheets
deloitte_python_genai_interview_prep_topics.md,1. First-Round Screening Preparation,01_Behavioral_HR_Current_Role_and_Interview_Strategy.md,"Behavioral, HR, Current Role & Interview Strategy"
deloitte_python_genai_interview_prep_topics.md,2. Behavioral & Career-Motivation Questions,01_Behavioral_HR_Current_Role_and_Interview_Strategy.md,"Behavioral, HR, Current Role & Interview Strategy"
deloitte_python_genai_interview_prep_topics.md,3. Current Role: GenAI Associate / LLM Evaluation,01_Behavioral_HR_Current_Role_and_Interview_Strategy.md,"Behavioral, HR, Current Role & Interview Strategy"
deloitte_python_genai_interview_prep_topics.md,4. Python Core Topics,02_Python_Core_Advanced_and_Coding_Problems.md,"Python Core, Advanced Concepts & Coding Problems"
deloitte_python_genai_interview_prep_topics.md,5. Backend API Development,03_Backend_APIs_FastAPI_Flask_REST_gRPC_GraphQL.md,"Backend APIs, FastAPI, Flask, REST, gRPC & GraphQL"
deloitte_python_genai_interview_prep_topics.md,6. FastAPI,03_Backend_APIs_FastAPI_Flask_REST_gRPC_GraphQL.md,"Backend APIs, FastAPI, Flask, REST, gRPC & GraphQL"
deloitte_python_genai_interview_prep_topics.md,7. Flask,03_Backend_APIs_FastAPI_Flask_REST_gRPC_GraphQL.md,"Backend APIs, FastAPI, Flask, REST, gRPC & GraphQL"
deloitte_python_genai_interview_prep_topics.md,"8. REST, gRPC, and API Design",03_Backend_APIs_FastAPI_Flask_REST_gRPC_GraphQL.md,"Backend APIs, FastAPI, Flask, REST, gRPC & GraphQL"
deloitte_python_genai_interview_prep_topics.md,9. Clean Architecture & Code Organization,03_Backend_APIs_FastAPI_Flask_REST_gRPC_GraphQL.md,"Backend APIs, FastAPI, Flask, REST, gRPC & GraphQL"
deloitte_python_genai_interview_prep_topics.md,"10. Databases, ORM, and Data Modeling",04_Databases_SQL_ORM_Caching_and_Idempotency.md,"Databases, SQL, ORM, Caching & Idempotency"
deloitte_python_genai_interview_prep_topics.md,11. Testing & Code Quality,10_Testing_QA_Security_Observability_and_Reliability.md,"Testing, QA, Security, Observability & Reliability"
deloitte_python_genai_interview_prep_topics.md,"12. CI/CD, Git, and Engineering Workflow",09_Cloud_DevOps_Docker_Kubernetes_CICD.md,"Cloud, DevOps, Docker, Kubernetes & CI/CD"
deloitte_python_genai_interview_prep_topics.md,"13. Docker, Containers, Kubernetes, and Cloud",09_Cloud_DevOps_Docker_Kubernetes_CICD.md,"Cloud, DevOps, Docker, Kubernetes & CI/CD"
deloitte_python_genai_interview_prep_topics.md,14. Observability & Production Monitoring,10_Testing_QA_Security_Observability_and_Reliability.md,"Testing, QA, Security, Observability & Reliability"
deloitte_python_genai_interview_prep_topics.md,"15. Security, Privacy, and PII Handling",10_Testing_QA_Security_Observability_and_Reliability.md,"Testing, QA, Security, Observability & Reliability"
deloitte_python_genai_interview_prep_topics.md,"16. Databases, Caching, and Messaging Systems",04_Databases_SQL_ORM_Caching_and_Idempotency.md,"Databases, SQL, ORM, Caching & Idempotency"
deloitte_python_genai_interview_prep_topics.md,17. LLM / GenAI Application Development,06_GenAI_LLMs_Prompting_Agents_RAG_and_Evaluation.md,"GenAI, LLMs, Prompting, Agents, RAG & Evaluation"
deloitte_python_genai_interview_prep_topics.md,18. Prompt Engineering & Context Construction,06_GenAI_LLMs_Prompting_Agents_RAG_and_Evaluation.md,"GenAI, LLMs, Prompting, Agents, RAG & Evaluation"
deloitte_python_genai_interview_prep_topics.md,19. RAG: Retrieval-Augmented Generation,06_GenAI_LLMs_Prompting_Agents_RAG_and_Evaluation.md,"GenAI, LLMs, Prompting, Agents, RAG & Evaluation"
deloitte_python_genai_interview_prep_topics.md,20. Embeddings & Vector Databases,06_GenAI_LLMs_Prompting_Agents_RAG_and_Evaluation.md,"GenAI, LLMs, Prompting, Agents, RAG & Evaluation"
deloitte_python_genai_interview_prep_topics.md,"21. LLM Evaluation, Guardrails, and Safety",06_GenAI_LLMs_Prompting_Agents_RAG_and_Evaluation.md,"GenAI, LLMs, Prompting, Agents, RAG & Evaluation"
deloitte_python_genai_interview_prep_topics.md,"22. LLM Cost, Latency, and Reliability Optimization",10_Testing_QA_Security_Observability_and_Reliability.md,"Testing, QA, Security, Observability & Reliability"
deloitte_python_genai_interview_prep_topics.md,"23. Model Selection, Fine-Tuning, LoRA/QLoRA",06_GenAI_LLMs_Prompting_Agents_RAG_and_Evaluation.md,"GenAI, LLMs, Prompting, Agents, RAG & Evaluation"
deloitte_python_genai_interview_prep_topics.md,24. Multimodal AI Familiarity,06_GenAI_LLMs_Prompting_Agents_RAG_and_Evaluation.md,"GenAI, LLMs, Prompting, Agents, RAG & Evaluation"
deloitte_python_genai_interview_prep_topics.md,25. Questions to Ask the Interviewer,12_Questions_to_Ask_and_Revision_Cheat_Sheets.md,Questions to Ask Interviewers & Revision Cheat Sheets
deloitte_python_genai_interview_prep_topics.md,26. Final Revision Checklist,12_Questions_to_Ask_and_Revision_Cheat_Sheets.md,Questions to Ask Interviewers & Revision Cheat Sheets
deloitte_python_genai_interview_prep_topics.md,One-Line Positioning Statement,12_Questions_to_Ask_and_Revision_Cheat_Sheets.md,Questions to Ask Interviewers & Revision Cheat Sheets
deloitte_python_genai_interview_prep_topics.md,30-Second Closing Pitch,12_Questions_to_Ask_and_Revision_Cheat_Sheets.md,Questions to Ask Interviewers & Revision Cheat Sheets
interview_prep_python_rest_fastapi_genai.md,1. Python Fundamentals,02_Python_Core_Advanced_and_Coding_Problems.md,"Python Core, Advanced Concepts & Coding Problems"
interview_prep_python_rest_fastapi_genai.md,2. Python Operators & Expressions,02_Python_Core_Advanced_and_Coding_Problems.md,"Python Core, Advanced Concepts & Coding Problems"
interview_prep_python_rest_fastapi_genai.md,"3. Lists, Tuples, and Sets",02_Python_Core_Advanced_and_Coding_Problems.md,"Python Core, Advanced Concepts & Coding Problems"
interview_prep_python_rest_fastapi_genai.md,"4. Python Functions, Decorators, and Generators",02_Python_Core_Advanced_and_Coding_Problems.md,"Python Core, Advanced Concepts & Coding Problems"
interview_prep_python_rest_fastapi_genai.md,5. Exception Handling,02_Python_Core_Advanced_and_Coding_Problems.md,"Python Core, Advanced Concepts & Coding Problems"
interview_prep_python_rest_fastapi_genai.md,6. Concurrency in Python,02_Python_Core_Advanced_and_Coding_Problems.md,"Python Core, Advanced Concepts & Coding Problems"
interview_prep_python_rest_fastapi_genai.md,7. REST API Fundamentals,03_Backend_APIs_FastAPI_Flask_REST_gRPC_GraphQL.md,"Backend APIs, FastAPI, Flask, REST, gRPC & GraphQL"
interview_prep_python_rest_fastapi_genai.md,8. FastAPI and Flask,03_Backend_APIs_FastAPI_Flask_REST_gRPC_GraphQL.md,"Backend APIs, FastAPI, Flask, REST, gRPC & GraphQL"
interview_prep_python_rest_fastapi_genai.md,9. Async APIs and Concurrent Requests,03_Backend_APIs_FastAPI_Flask_REST_gRPC_GraphQL.md,"Backend APIs, FastAPI, Flask, REST, gRPC & GraphQL"
interview_prep_python_rest_fastapi_genai.md,10. API Security,10_Testing_QA_Security_Observability_and_Reliability.md,"Testing, QA, Security, Observability & Reliability"
interview_prep_python_rest_fastapi_genai.md,"11. GenAI, ChatGPT API, and Prompt Engineering",06_GenAI_LLMs_Prompting_Agents_RAG_and_Evaluation.md,"GenAI, LLMs, Prompting, Agents, RAG & Evaluation"
interview_prep_python_rest_fastapi_genai.md,12. AI Production Challenges,10_Testing_QA_Security_Observability_and_Reliability.md,"Testing, QA, Security, Observability & Reliability"
interview_prep_python_rest_fastapi_genai.md,13. Coding Interview Practice Topics,02_Python_Core_Advanced_and_Coding_Problems.md,"Python Core, Advanced Concepts & Coding Problems"
interview_prep_python_rest_fastapi_genai.md,14. Live Technical Interview Strategy,01_Behavioral_HR_Current_Role_and_Interview_Strategy.md,"Behavioral, HR, Current Role & Interview Strategy"
interview_prep_python_rest_fastapi_genai.md,15. Quick Revision Cheat Sheet,12_Questions_to_Ask_and_Revision_Cheat_Sheets.md,Questions to Ask Interviewers & Revision Cheat Sheets
interview_prep_python_rest_fastapi_genai.md,Final Review Checklist Before Interview,12_Questions_to_Ask_and_Revision_Cheat_Sheets.md,Questions to Ask Interviewers & Revision Cheat Sheets
interview_questions_topics_technical_prep.md,1. Behavioral and Leadership Questions,01_Behavioral_HR_Current_Role_and_Interview_Strategy.md,"Behavioral, HR, Current Role & Interview Strategy"
interview_questions_topics_technical_prep.md,2. Backend and Microservices Architecture,05_System_Design_Microservices_and_Distributed_Systems.md,"System Design, Microservices & Distributed Systems"
interview_questions_topics_technical_prep.md,3. REST API Design and Idempotency,04_Databases_SQL_ORM_Caching_and_Idempotency.md,"Databases, SQL, ORM, Caching & Idempotency"
interview_questions_topics_technical_prep.md,4. Django and ORM Performance,04_Databases_SQL_ORM_Caching_and_Idempotency.md,"Databases, SQL, ORM, Caching & Idempotency"
interview_questions_topics_technical_prep.md,5. Databases and Data Modeling,04_Databases_SQL_ORM_Caching_and_Idempotency.md,"Databases, SQL, ORM, Caching & Idempotency"
interview_questions_topics_technical_prep.md,"6. Caching, Rate Limiting, Abuse Prevention, and Feature Flags",05_System_Design_Microservices_and_Distributed_Systems.md,"System Design, Microservices & Distributed Systems"
interview_questions_topics_technical_prep.md,"7. Cloud, AWS, Kubernetes, and GenAI Deployment",09_Cloud_DevOps_Docker_Kubernetes_CICD.md,"Cloud, DevOps, Docker, Kubernetes & CI/CD"
interview_questions_topics_technical_prep.md,"8. Docker, Git, and CI/CD",09_Cloud_DevOps_Docker_Kubernetes_CICD.md,"Cloud, DevOps, Docker, Kubernetes & CI/CD"
interview_questions_topics_technical_prep.md,"9. Production Reliability, Observability, Incidents, and Runbooks",10_Testing_QA_Security_Observability_and_Reliability.md,"Testing, QA, Security, Observability & Reliability"
interview_questions_topics_technical_prep.md,10. Python Core Concepts,02_Python_Core_Advanced_and_Coding_Problems.md,"Python Core, Advanced Concepts & Coding Problems"
interview_questions_topics_technical_prep.md,11. Python Coding Problems and Algorithms,02_Python_Core_Advanced_and_Coding_Problems.md,"Python Core, Advanced Concepts & Coding Problems"
interview_questions_topics_technical_prep.md,"12. Machine Learning, Data Pipelines, and Model Serving",07_Machine_Learning_Deep_Learning_Modeling_and_Validation.md,"Machine Learning, Deep Learning, Modeling & Validation"
interview_questions_topics_technical_prep.md,"13. LLMs, RAG, Prompt Engineering, and GenAI Evaluation",06_GenAI_LLMs_Prompting_Agents_RAG_and_Evaluation.md,"GenAI, LLMs, Prompting, Agents, RAG & Evaluation"
interview_questions_topics_technical_prep.md,"14. Security, Privacy, PII, and Access Control",10_Testing_QA_Security_Observability_and_Reliability.md,"Testing, QA, Security, Observability & Reliability"
interview_questions_topics_technical_prep.md,15. Code Review and API Fix Case Topics,03_Backend_APIs_FastAPI_Flask_REST_gRPC_GraphQL.md,"Backend APIs, FastAPI, Flask, REST, gRPC & GraphQL"
interview_questions_topics_technical_prep.md,16. Quick Revision Cheat Sheet,12_Questions_to_Ask_and_Revision_Cheat_Sheets.md,Questions to Ask Interviewers & Revision Cheat Sheets
interview_questions_topics_technical_prep.md,Final Interview Reminder,12_Questions_to_Ask_and_Revision_Cheat_Sheets.md,Questions to Ask Interviewers & Revision Cheat Sheets
transaction_etl_sql_data_engineering_interview_handbook.md,1. Transaction Dataset Schema,08_Data_Engineering_ETL_Big_Data_and_Analytics.md,"Data Engineering, ETL, Big Data & Analytics"
transaction_etl_sql_data_engineering_interview_handbook.md,2. Python / Pandas Data Handling,08_Data_Engineering_ETL_Big_Data_and_Analytics.md,"Data Engineering, ETL, Big Data & Analytics"
transaction_etl_sql_data_engineering_interview_handbook.md,3. SQL Interview Questions,04_Databases_SQL_ORM_Caching_and_Idempotency.md,"Databases, SQL, ORM, Caching & Idempotency"
transaction_etl_sql_data_engineering_interview_handbook.md,4. Data Quality,08_Data_Engineering_ETL_Big_Data_and_Analytics.md,"Data Engineering, ETL, Big Data & Analytics"
transaction_etl_sql_data_engineering_interview_handbook.md,5. Data Engineering / ETL Pipelines,08_Data_Engineering_ETL_Big_Data_and_Analytics.md,"Data Engineering, ETL, Big Data & Analytics"
transaction_etl_sql_data_engineering_interview_handbook.md,"6. Batch, Streaming & Micro-Batch Processing",08_Data_Engineering_ETL_Big_Data_and_Analytics.md,"Data Engineering, ETL, Big Data & Analytics"
transaction_etl_sql_data_engineering_interview_handbook.md,7. Architecture Design Considerations,08_Data_Engineering_ETL_Big_Data_and_Analytics.md,"Data Engineering, ETL, Big Data & Analytics"
transaction_etl_sql_data_engineering_interview_handbook.md,8. Data Lineage,08_Data_Engineering_ETL_Big_Data_and_Analytics.md,"Data Engineering, ETL, Big Data & Analytics"
transaction_etl_sql_data_engineering_interview_handbook.md,9. Storage Model Design,08_Data_Engineering_ETL_Big_Data_and_Analytics.md,"Data Engineering, ETL, Big Data & Analytics"
transaction_etl_sql_data_engineering_interview_handbook.md,10. Amazon S3 Performance Optimization,08_Data_Engineering_ETL_Big_Data_and_Analytics.md,"Data Engineering, ETL, Big Data & Analytics"
transaction_etl_sql_data_engineering_interview_handbook.md,11. Delta Lake & Lakehouse Architecture,08_Data_Engineering_ETL_Big_Data_and_Analytics.md,"Data Engineering, ETL, Big Data & Analytics"
transaction_etl_sql_data_engineering_interview_handbook.md,12. Incremental Loads,08_Data_Engineering_ETL_Big_Data_and_Analytics.md,"Data Engineering, ETL, Big Data & Analytics"
transaction_etl_sql_data_engineering_interview_handbook.md,"13. Monitoring, Logging, Reliability & Alerts",10_Testing_QA_Security_Observability_and_Reliability.md,"Testing, QA, Security, Observability & Reliability"
transaction_etl_sql_data_engineering_interview_handbook.md,14. Common Interview Follow-Ups,08_Data_Engineering_ETL_Big_Data_and_Analytics.md,"Data Engineering, ETL, Big Data & Analytics"
transaction_etl_sql_data_engineering_interview_handbook.md,15. Quick Revision Cheat Sheet,12_Questions_to_Ask_and_Revision_Cheat_Sheets.md,Questions to Ask Interviewers & Revision Cheat Sheets
transaction_etl_sql_data_engineering_interview_handbook.md,Final Coverage Checklist,12_Questions_to_Ask_and_Revision_Cheat_Sheets.md,Questions to Ask Interviewers & Revision Cheat Sheets
ML_AI_Systems_Interview_Prep_Handbook.md,How to Use This Guide,01_Behavioral_HR_Current_Role_and_Interview_Strategy.md,"Behavioral, HR, Current Role & Interview Strategy"
ML_AI_Systems_Interview_Prep_Handbook.md,Interview Positioning,01_Behavioral_HR_Current_Role_and_Interview_Strategy.md,"Behavioral, HR, Current Role & Interview Strategy"
ML_AI_Systems_Interview_Prep_Handbook.md,Behavioral & Profile-Based Questions,01_Behavioral_HR_Current_Role_and_Interview_Strategy.md,"Behavioral, HR, Current Role & Interview Strategy"
ML_AI_Systems_Interview_Prep_Handbook.md,Python,02_Python_Core_Advanced_and_Coding_Problems.md,"Python Core, Advanced Concepts & Coding Problems"
ML_AI_Systems_Interview_Prep_Handbook.md,Machine Learning Fundamentals,07_Machine_Learning_Deep_Learning_Modeling_and_Validation.md,"Machine Learning, Deep Learning, Modeling & Validation"
ML_AI_Systems_Interview_Prep_Handbook.md,Deep Learning,07_Machine_Learning_Deep_Learning_Modeling_and_Validation.md,"Machine Learning, Deep Learning, Modeling & Validation"
ML_AI_Systems_Interview_Prep_Handbook.md,LLMs & Generative AI,06_GenAI_LLMs_Prompting_Agents_RAG_and_Evaluation.md,"GenAI, LLMs, Prompting, Agents, RAG & Evaluation"
ML_AI_Systems_Interview_Prep_Handbook.md,RAG: Retrieval-Augmented Generation,06_GenAI_LLMs_Prompting_Agents_RAG_and_Evaluation.md,"GenAI, LLMs, Prompting, Agents, RAG & Evaluation"
ML_AI_Systems_Interview_Prep_Handbook.md,AI Agents & Tool Calling,06_GenAI_LLMs_Prompting_Agents_RAG_and_Evaluation.md,"GenAI, LLMs, Prompting, Agents, RAG & Evaluation"
ML_AI_Systems_Interview_Prep_Handbook.md,"Embeddings, Vector Databases & Indexing",06_GenAI_LLMs_Prompting_Agents_RAG_and_Evaluation.md,"GenAI, LLMs, Prompting, Agents, RAG & Evaluation"
ML_AI_Systems_Interview_Prep_Handbook.md,LLM Evaluation & Hallucination Reduction,06_GenAI_LLMs_Prompting_Agents_RAG_and_Evaluation.md,"GenAI, LLMs, Prompting, Agents, RAG & Evaluation"
ML_AI_Systems_Interview_Prep_Handbook.md,AI/ML Validation,07_Machine_Learning_Deep_Learning_Modeling_and_Validation.md,"Machine Learning, Deep Learning, Modeling & Validation"
ML_AI_Systems_Interview_Prep_Handbook.md,System Design for AI/ML Platforms,07_Machine_Learning_Deep_Learning_Modeling_and_Validation.md,"Machine Learning, Deep Learning, Modeling & Validation"
ML_AI_Systems_Interview_Prep_Handbook.md,Data Engineering & Large Datasets,08_Data_Engineering_ETL_Big_Data_and_Analytics.md,"Data Engineering, ETL, Big Data & Analytics"
ML_AI_Systems_Interview_Prep_Handbook.md,Backend Engineering & FastAPI,03_Backend_APIs_FastAPI_Flask_REST_gRPC_GraphQL.md,"Backend APIs, FastAPI, Flask, REST, gRPC & GraphQL"
ML_AI_Systems_Interview_Prep_Handbook.md,"Cloud, DevOps & Monitoring",09_Cloud_DevOps_Docker_Kubernetes_CICD.md,"Cloud, DevOps, Docker, Kubernetes & CI/CD"
ML_AI_Systems_Interview_Prep_Handbook.md,Documentation & Cross-Functional Collaboration,01_Behavioral_HR_Current_Role_and_Interview_Strategy.md,"Behavioral, HR, Current Role & Interview Strategy"
ML_AI_Systems_Interview_Prep_Handbook.md,Questions to Ask the Interviewer,12_Questions_to_Ask_and_Revision_Cheat_Sheets.md,Questions to Ask Interviewers & Revision Cheat Sheets
ML_AI_Systems_Interview_Prep_Handbook.md,30-Minute Interview Game Plan,12_Questions_to_Ask_and_Revision_Cheat_Sheets.md,Questions to Ask Interviewers & Revision Cheat Sheets
ML_AI_Systems_Interview_Prep_Handbook.md,Rapid Revision Checklist,12_Questions_to_Ask_and_Revision_Cheat_Sheets.md,Questions to Ask Interviewers & Revision Cheat Sheets
ML_AI_Systems_Interview_Prep_Handbook.md,High-Probability Interview Questions,12_Questions_to_Ask_and_Revision_Cheat_Sheets.md,Questions to Ask Interviewers & Revision Cheat Sheets
ML_AI_Systems_Interview_Prep_Handbook.md,Final Interview Mindset,12_Questions_to_Ask_and_Revision_Cheat_Sheets.md,Questions to Ask Interviewers & Revision Cheat Sheets
ML_AI_Systems_Interview_Prep_Handbook.md,End of Handbook,12_Questions_to_Ask_and_Revision_Cheat_Sheets.md,Questions to Ask Interviewers & Revision Cheat Sheets
Interview_Topics_and_Technical_Prep.md,1. Core Interview Narrative,01_Behavioral_HR_Current_Role_and_Interview_Strategy.md,"Behavioral, HR, Current Role & Interview Strategy"
Interview_Topics_and_Technical_Prep.md,2. Behavioral / HR Questions,01_Behavioral_HR_Current_Role_and_Interview_Strategy.md,"Behavioral, HR, Current Role & Interview Strategy"
Interview_Topics_and_Technical_Prep.md,3. Current Role & Career Transition Questions,01_Behavioral_HR_Current_Role_and_Interview_Strategy.md,"Behavioral, HR, Current Role & Interview Strategy"
Interview_Topics_and_Technical_Prep.md,4. Python Engineering,02_Python_Core_Advanced_and_Coding_Problems.md,"Python Core, Advanced Concepts & Coding Problems"
Interview_Topics_and_Technical_Prep.md,"5. Backend APIs: REST, GraphQL, FastAPI, Flask",03_Backend_APIs_FastAPI_Flask_REST_gRPC_GraphQL.md,"Backend APIs, FastAPI, Flask, REST, gRPC & GraphQL"
Interview_Topics_and_Technical_Prep.md,"6. Databases, ORMs & PostgreSQL",04_Databases_SQL_ORM_Caching_and_Idempotency.md,"Databases, SQL, ORM, Caching & Idempotency"
Interview_Topics_and_Technical_Prep.md,"7. Distributed Systems: Celery, Redis, RabbitMQ",05_System_Design_Microservices_and_Distributed_Systems.md,"System Design, Microservices & Distributed Systems"
